cik,accession_number,filing_date,form,filing_url
0000021344,0000021344-25-000011,2025-02-20,10-K,https://www.sec.gov/Archives/edgar/data/0000021344/000002134425000011/ko-20241231.htm
0000021344,0000021344-24-000009,2024-02-20,10-K,https://www.sec.gov/Archives/edgar/data/0000021344/000002134424000009/ko-20231231.htm
0000021344,0000021344-23-000011,2023-02-21,10-K,https://www.sec.gov/Archives/edgar/data/0000021344/000002134423000011/ko-20221231.htm
0000021344,0000021344-22-000009,2022-02-22,10-K,https://www.sec.gov/Archives/edgar/data/0000021344/000002134422000009/ko-20211231.htm
0000021344,0000021344-21-000008,2021-02-25,10-K,https://www.sec.gov/Archives/edgar/data/0000021344/000002134421000008/ko-20201231.htm
0000021344,0000021344-20-000006,2020-02-24,10-K,https://www.sec.gov/Archives/edgar/data/0000021344/000002134420000006/a2019123110-k.htm
0000021344,0000021344-19-000014,2019-02-21,10-K,https://www.sec.gov/Archives/edgar/data/0000021344/000002134419000014/a2018123110-k.htm
0000021344,0000021344-18-000008,2018-02-23,10-K,https://www.sec.gov/Archives/edgar/data/0000021344/000002134418000008/a2017123110-k.htm
0000021344,0000021344-17-000009,2017-02-24,10-K,https://www.sec.gov/Archives/edgar/data/0000021344/000002134417000009/a2016123110-k.htm
0000051143,0000051143-25-000015,2025-02-25,10-K,https://www.sec.gov/Archives/edgar/data/0000051143/000005114325000015/ibm-20241231.htm
0000051143,0000051143-24-000012,2024-02-26,10-K,https://www.sec.gov/Archives/edgar/data/0000051143/000005114324000012/ibm-20231231.htm
0000051143,0001558370-23-002376,2023-02-28,10-K,https://www.sec.gov/Archives/edgar/data/0000051143/000155837023002376/ibm-20221231x10k.htm
0000051143,0001558370-22-001584,2022-02-22,10-K,https://www.sec.gov/Archives/edgar/data/0000051143/000155837022001584/ibm-20211231x10k.htm
0000051143,0001558370-21-001489,2021-02-23,10-K,https://www.sec.gov/Archives/edgar/data/0000051143/000155837021001489/ibm-20201231x10k.htm
0000051143,0001558370-20-001334,2020-02-25,10-K,https://www.sec.gov/Archives/edgar/data/0000051143/000155837020001334/ibm-20191231x10k2af531.htm
0000051143,0001047469-19-000712,2019-02-26,10-K,https://www.sec.gov/Archives/edgar/data/0000051143/000104746919000712/a2237254z10-k.htm
0000200406,0000200406-25-000038,2025-02-13,10-K,https://www.sec.gov/Archives/edgar/data/0000200406/000020040625000038/jnj-20241229.htm
0000200406,0000200406-24-000013,2024-02-16,10-K,https://www.sec.gov/Archives/edgar/data/0000200406/000020040624000013/jnj-20231231.htm
0000200406,0000200406-23-000016,2023-02-16,10-K,https://www.sec.gov/Archives/edgar/data/0000200406/000020040623000016/jnj-20230101.htm
0000200406,0000200406-22-000022,2022-02-17,10-K,https://www.sec.gov/Archives/edgar/data/0000200406/000020040622000022/jnj-20220102.htm
0000200406,0000200406-21-000008,2021-02-22,10-K,https://www.sec.gov/Archives/edgar/data/0000200406/000020040621000008/jnj-20210103.htm
0000200406,0000200406-20-000010,2020-02-18,10-K,https://www.sec.gov/Archives/edgar/data/0000200406/000020040620000010/form10-k20191229.htm
0000200406,0000200406-19-000009,2019-02-20,10-K,https://www.sec.gov/Archives/edgar/data/0000200406/000020040619000009/form10-k20181230.htm
